message_id,received_date,title,description,triaged_date,sender,subject,course_or_area,category,email_type,importance,priority,status,decision,mailbox_action,next_action,deadline,task_id,email_link_or_context,notes
EMAIL-0096,2026-06-22 12:57,CoE academic status warning,College of Engineering notice says academic status changed to warning because Spring term GPA was below 2.50 or Spring term completion rate was below 65%.,2026-07-01,Engineering Undergraduate Programs,CoE Academic Status Warning- Spring 2026,ECE 401 / Academic Status,admin,irregular,critical,P0,actionable,Update TASK-0007 and keep unread because this is critical academic-status work tied to the unresolved incomplete/completion-rate issue.,restored_unread,Confirm the ECE 401 incomplete has been replaced on the transcript and that Engineering academic status no longer treats Spring 2026 as below completion-rate requirements.,as soon as possible,TASK-0007,Outlook message from Engineering Undergraduate Programs received Mon 6/22/2026 12:57 PM; CoE Academic Status Warning notice.,"Full body read. Opening did not mark it read; it was already read at staging. Codex clicked Mark as unread. Verification: exact unread search isread:no received:6/22/2026 ""CoE Academic Status Warning- Spring 2026"" found the exact message."
EMAIL-0078,2026-06-22 14:13,PH 212 first-day lecture and participation,PH 212 announcement explains M1-0 participation credit from live Zoom/Poll Everywhere and says students with zero credit should complete M1-0asy after watching the lecture video.,2026-06-26,GENERAL PHYSICS WITH CALCULUS (PH_212_400_U2026),First day lecture and participation: GENERAL PHYSICS WITH CALCULUS (PH_212_400_U2026),PH 212,course,routine,high,P1,actionable,"Keep hot/unread for user attention because this PH 212 announcement contains first-day lecture, participation-credit, and make-up assignment information.",restored_unread,"Check Canvas grade book for M1-0 credit; if it shows zero, watch the Module 1 lecture video and submit M1-0asy.",,TASK-0005,Canvas notification from PH 212 received Mon 6/22/2026 2:13 PM; first-day lecture video and participation-credit instructions.,"Full body read. Initial exact unread searches returned no result before opening; all-mail search found the message already read with row action Mark as unread. No read-state button was clicked; final state remains read. User identified this as a course announcement to keep hot; Codex selected the exact Outlook row, clicked Mark as unread, and verified unread search isread:no ""First day lecture and participation"" returned the exact Mon 6/22 PH 212 result."
EMAIL-0098,2026-06-22 17:13,Financial Aid summer census warning,"Financial Aid says the Summer 2026 census date is 2026-07-05, aid is locked to enrolled credits at census, and loans may be canceled or reduced if enrollment is below required levels.",2026-07-01,Office of Financial Aid,Financial Aid - Complete Your Summer Enrollment Revision,Financial Aid,financial aid,irregular,critical,P0,actionable,Update TASK-0002 and keep unread because summer enrollment status affects aid and loan eligibility.,restored_unread,Verify expected summer enrollment/credits in the OSU Financial Aid Self-Service Portal before the 2026-07-05 census date.,2026-07-05,TASK-0002,Outlook message from Office of Financial Aid received Mon 6/22/2026 5:13 PM; summer census and enrollment-revision notice.,"Full body read. Opening did not mark it read; it was already read at staging. Codex clicked Mark as unread. Verification: exact unread search isread:no received:6/22/2026 ""Financial Aid - Complete Your Summer Enrollment Revision"" found the exact message."
EMAIL-0099,2026-06-22 23:41,MTH 252 welcome video,"MTH 252 announcement links a welcome video covering syllabus, Canvas, Gradescope, course flow, and success tips.",2026-07-01,INTEGRAL CALCULUS (MTH_252Z_400_U2026),Welcome Video: INTEGRAL CALCULUS (MTH_252Z_400_U2026),MTH 252,course,irregular,high,P1,reference,Update TASK-0003 and keep unread because it contains current course setup guidance.,restored_unread,"Watch the MTH 252 welcome video and fold syllabus, Canvas, Gradescope, and course-flow notes into setup.",,TASK-0003,Canvas notification from MTH 252 received Mon 6/22/2026 11:41 PM; welcome video announcement.,"Full body read. Opening did not mark it read; it was already read at staging. Codex clicked Mark as unread. Verification: exact unread search isread:no received:6/22/2026 ""Welcome Video: INTEGRAL CALCULUS (MTH_252Z_400_U2026)"" found the exact message."
EMAIL-0100,2026-06-23 12:07,MTH 252 Gradescope timing update,MTH 252 announcement says Gradescope would be available around 5 PM on 2026-06-23 and the instructor would keep students posted.,2026-07-01,INTEGRAL CALCULUS (MTH_252Z_400_U2026),Update: Gradescope will be ready today: INTEGRAL CALCULUS (MTH_252Z_400_U2026),MTH 252,course,irregular,high,P1,reference,Update TASK-0003 and keep unread because it is a course setup/status update about Gradescope.,restored_unread,Check the later MTH 252 Gradescope access details and confirm the correct section is available.,,TASK-0003,Canvas notification from MTH 252 received Tue 6/23/2026 12:07 PM; Gradescope availability update.,"Full body read. Opening did not mark it read; it was already read at staging. Codex clicked Mark as unread. Verification: exact unread search isread:no received:6/23/2026 ""Update: Gradescope will be ready today"" found the exact message."
EMAIL-0103,2026-06-24 11:14,Summer add/drop deadlines,"EECS Student Resources lists Summer Session 3 deadlines: add by 2026-07-01, 50% withdrawal refund by 2026-07-07, no-refund withdrawal by 2026-07-29, and session end 2026-08-14.",2026-07-01,EECS Student Resources,Summer 2026 Add/Drop Deadlines: EECS Student Resources,EECS / Enrollment,admin,irregular,high,P2,reference,Keep unread as current academic deadline reference; no new task unless changing enrollment.,restored_unread,"Review only if considering adding, dropping, or withdrawing from a summer course; contact advisor before deadline if needed.",2026-07-01,,Canvas notification from EECS Student Resources received Wed 6/24/2026 11:14 AM; Summer 2026 Add/Drop Deadlines.,"Full body read. Opening did not mark it read; it was already read at staging. Codex clicked Mark as unread. Verification: exact unread search isread:no received:6/24/2026 ""Summer 2026 Add/Drop Deadlines"" found the exact message."
EMAIL-0105,2026-06-24 13:41,MTH 252 Gradescope details,"MTH 252 announcement gives Gradescope section entry codes, says to enroll only in the registered section, and warns to verify submissions by refreshing instead of trusting receipt emails.",2026-07-01,INTEGRAL CALCULUS (MTH_252Z_400_U2026),Gradescope details and access ....: INTEGRAL CALCULUS (MTH_252Z_400_U2026),MTH 252,course,irregular,high,P1,actionable,Update TASK-0003 and keep unread because it contains current Gradescope access and submission-verification details.,restored_unread,Enroll in the correct MTH 252 Gradescope course and verify every submission by refreshing the assignment page after upload.,2026-06-29,TASK-0003,Canvas notification from MTH 252 received Wed 6/24/2026 1:41 PM; Gradescope details and access.,"Full body read. Opening did not mark it read; it was already read at staging. Codex clicked Mark as unread. Verification: exact unread search isread:no received:6/24/2026 ""Gradescope details and access"" found the exact message."
EMAIL-0107,2026-06-25 00:27,Beaver Hub enrollment case received,Oregon State no-reply message confirms case 00389969 was received for Updated Enrollment and says the team will respond with a response or questions.,2026-07-01,No-Reply - Oregon State University,00389969 - Updated Enrollment,Financial Aid,financial aid,irregular,high,P0,waiting,Update TASK-0002 and keep unread because it confirms the financial-aid enrollment case is pending.,restored_unread,Monitor Beaver Hub/Financial Aid for the Updated Enrollment response and follow up if the case does not update.,2026-07-02,TASK-0002,Outlook message from noreply-beaverhub@oregonstate.edu received Thu 6/25/2026 12:27 AM; case 00389969 Updated Enrollment acknowledgement.,Full body read. Opening did not mark it read; it was already read at staging. Codex clicked Mark as unread using fallback case-number search. Verification: exact unread search isread:no 00389969 found the exact message.
EMAIL-0108,2026-06-25 00:27,Financial Aid updated enrollment request,"Financial-aid conversation includes Jacob asking why summer-term enrollment is not reflected for loans, tuition, and housing, plus the auto-reply that the email creates a Beaver Hub case.",2026-07-01,Financial Aid Office,Updated Enrollment,Financial Aid,financial aid,irregular,critical,P0,waiting,Update TASK-0002 and keep unread because this is the active financial-aid enrollment-resolution thread.,restored_unread,Monitor the Beaver Hub case and follow up with Financial Aid if enrollment status is not updated within the stated response window.,2026-07-02,TASK-0002,Outlook conversation received Thu 6/25/2026 12:27 AM; Updated Enrollment request and Financial Aid auto-reply.,Full body read. Opening did not mark it read; it was already read at staging. Codex clicked Mark as unread using fallback Financial Aid sender search. Verification: exact unread search isread:no from:(financial.aid@oregonstate.edu) found the exact 2026-06-25 00:27 Updated Enrollment row.
EMAIL-0079,2026-06-26 10:47,MTH 252 Q&A link moved to Start Here,MTH 252 announcement says the Q&A link was accidentally placed in the wrong module and has been moved to the Start Here module; instructor will monitor it through Week 1 before moving to another real-time community tool.,2026-06-26,INTEGRAL CALCULUS (MTH_252Z_400_U2026),Q & A link --> in Start Here module: INTEGRAL CALCULUS (MTH_252Z_400_U2026),MTH 252,course,irregular,high,P1,actionable,Keep unread for user attention; update TASK-0003 to use the Q&A link from Start Here during Week 1.,restored_unread,Use the MTH 252 Q&A link from the Start Here module during Week 1.,,TASK-0003,Canvas notification from MTH 252 received Fri 6/26/2026 10:47 AM; Q&A link moved to Start Here module.,"Full body read. Opening did not mark it read; Outlook still showed Mark as read. Exact unread search isread:no ""Q & A link"" found the message, so no Mark as unread action was needed. End verification found the message read after a delayed Outlook state change; Codex clicked Mark as unread and verified unread search isread:no ""Q & A link"" returned the exact result."
EMAIL-0080,2026-06-26 12:12,PH 212 Lab TA meeting time confirmation,PH 212 lead lab TA reminds groups to email the selected TA and wait for confirmation before assuming a meeting time is scheduled.,2026-06-26,GENERAL PHYSICS WITH CALCULUS (PH_212_400_U2026) <notifications@instructure.com>,Please email your Lab TA to confirm your meeting time: GENERAL PHYSICS WITH CALCULUS (PH_212_400_U2026),PH 212,course,irregular,high,P1,actionable,do,restored_unread,"Email the chosen PH 212 Lab TA to confirm the group meeting time is available, and wait for the TA reply before treating it as scheduled.",before first PH 212 TA meeting next week,TASK-0006,Outlook unread search result isread:no; full message opened and read in Outlook; row remained unread after opening; no mark read/unread button clicked.,"Full body read manually. Roshell, PH 212 Lead Lab TA, says choosing a TA meeting time is not enough: groups must email the TA to confirm availability because times are first come, first served. TA meetings and lab group reports start next week; first TA meeting covers lab course structure and Lab 2 activity. Kept unread because this is an irregular high-importance course action. End verification found the message read; Codex clicked Mark as unread and verified unread search isread:no ""Please email your Lab TA to confirm your meeting time"" returned the exact result."
EMAIL-0115,2026-06-27 13:23,Mathews changed ECE 401 grade,"Professor Mathews replied that he changed the grade, asked Jacob to check whether the grade is visible and the warning is off, and may revisit the report later with questions or comments.",2026-07-01,"Mathews, V John",Report Attached,ECE 401 / Academic Status,admin,personal,critical,P0,actionable,Update TASK-0007 and keep unread because this direct professor reply is the key grade-change confirmation.,restored_unread,Check transcript/grade display and confirm the CoE warning/completion-rate issue is cleared after Mathews changed the grade.,as soon as possible,TASK-0007,Outlook thread from V John Mathews received Sat 6/27/2026 1:23 PM; Report Attached thread includes grade-change confirmation.,"Full body read. Full conversation body read, including original report submission, revision submission, follow-up, and Mathews reply. Codex clicked Mark as unread using exact Mathews sender search after Outlook surfaced the later sent reply under the same subject. Verification: exact unread search isread:no from:(mathews@oregonstate.edu) ""Report Attached"" found the 2026-06-27 13:23 Mathews row."
EMAIL-0116,2026-06-27 19:34,PH 212 extension granted,"Kathryn Hadley said Canvas gradebook notes give extensions until Tuesday, but pre-lecture assignments cannot be extended because answers post at due time; three drops cover excused absences.",2026-07-01,"Hadley, Kathryn Z",Extension Request Due to Family Medical Situation,PH 212,course,personal,high,P1,actionable,Create TASK-0008 and keep unread because this is a direct instructor accommodation/extension reply.,restored_unread,Check PH 212 Canvas gradebook and submissions for extension-covered assignments; do not expect extensions on pre-lecture assignments.,2026-06-30,TASK-0008,Outlook thread from Kathryn Hadley received Sat 6/27/2026 7:34 PM; extension request reply.,"Full body read. Full visible body read for the selected thread. Codex clicked Mark as unread. Verification: exact unread search isread:no received:6/27/2026 ""Extension Request Due to Family Medical Situation"" found the exact message."
EMAIL-0117,2026-06-28 00:02,MTH 253 Unit 1 quiz instructions,"MTH 253 announcement says Unit 1 Quiz opens 2026-06-28 at noon, closes 2026-06-30 at 23:59, has a 90-minute timer, and requires PDF uploads for free-response work.",2026-07-01,SEQUENCES AND SERIES (MTH_253Z_400_U2026),Unit 1 Quiz - Opens 6/28!: SEQUENCES AND SERIES (MTH_253Z_400_U2026),MTH 253,course,irregular,high,P1,actionable,Update TASK-0004 and keep unread because it contains detailed quiz requirements and due-window information.,restored_unread,Verify Unit 1 Quiz completion and follow the listed upload/allowed-resource rules for similar future quizzes.,2026-06-30,TASK-0004,Canvas notification from MTH 253 received Sun 6/28/2026 12:02 AM; Unit 1 Quiz opening notice and instructions.,"Full body read. Opening did not mark it read; it was already read at staging. Codex clicked Mark as unread using fallback quiz-title search. Verification: exact unread search isread:no ""Unit 1 Quiz - Opens"" found the exact message."
EMAIL-0120,2026-06-28 11:30,MTH 252 Achieve access code,Learning Materials email contains the purchased Achieve Essentials for Calculus access code and says to redeem through Canvas/LMS so Achieve grades sync to Canvas.,2026-07-01,Learning Materials,Your Access Code,MTH 252,course,irregular,high,P1,actionable,Update TASK-0003 and keep unread because this contains the active Achieve access-code instructions.,restored_unread,"Redeem the Achieve access code from inside the MTH 252 Canvas course/LMS path, not directly on the Achieve website.",2026-06-29,TASK-0003,Learning Materials email received Sun 6/28/2026 11:30 AM; Achieve Essentials for Calculus access-code instructions.,"Full body read. Opening left the message unread in Outlook search state, but verification initially did not find it under exact unread search. Codex clicked Mark as unread to ensure final hot state; access code itself was not copied into local task notes. Verification: exact unread search isread:no received:6/28/2026 ""Your Access Code"" found the exact message."
EMAIL-0122,2026-06-28 11:38,MTH 253 Achieve access code,Learning Materials email contains a purchased Achieve Essentials for Calculus access code and says to redeem through Canvas/LMS so Achieve grades sync to Canvas.,2026-07-01,Learning Materials,Your Access Code,MTH 253,course,irregular,high,P1,actionable,Update TASK-0004 and keep unread because this contains active Achieve access-code instructions for calculus work.,restored_unread,"Redeem the Achieve access code from inside the Canvas/LMS course path, not directly on the Achieve website.",2026-06-29,TASK-0004,Learning Materials email received Sun 6/28/2026 11:38 AM; Achieve Essentials access-code instructions.,"Full body read. Opening left the message unread in Outlook search state, but exact unread verification initially did not find it. Codex clicked Mark as unread to ensure final hot state; access code itself was not copied into local task notes. Verification: exact unread search isread:no received:6/28/2026 ""Your Access Code"" found the exact 11:38 message."
EMAIL-0123,2026-06-28 12:12,Macmillan Achieve access case,Macmillan Support case 02925383 says the Achieve course appeared ended and that the instructor must update course start/end dates if it is a current course.,2026-07-01,Macmillan Support,Your Case Number: 02925383; [ ref:!00Di00gDUr.!500VW0pDFS5:ref ],MTH 253 / Achieve,course,irregular,high,P1,actionable,Update TASK-0004 and keep unread because it may explain Achieve access trouble for current coursework.,restored_unread,"If Achieve access still fails, tell the instructor/Macmillan that support says course start/end dates may need updating.",2026-06-29,TASK-0004,Macmillan Support email received Sun 6/28/2026 12:12 PM; case 02925383 about Achieve access.,"Full body read. Opening did not mark it read; it was already read at staging. Codex clicked Mark as unread. Verification: exact unread search isread:no received:6/28/2026 ""Your Case Number: 02925383"" found the exact message."
